,x,r,Mach Number,Stagnation Temperature (K),Stagnation Pressure (kPa),Static Temperature (K),Heat Transfer Coefficient,Heat Flux (kW/m2),Viscosity (Pa s),Thermal Conductivity (W/m K),Density (kg/m3),Velocity (m/s),Reynold's Number,Skin Friction Coefficient
0,0.0,2.1653555,0.08941393049103268,3400.02511173295,2068.4184740073506,3399.95195528147,12127.670879964735,37680.87308442468,5.8797441597105e-05,0.13578505337997307,0.017928227223368832,17.278277403810833,1.0,0.0576
1,0.021824891628282047,2.1653555,0.08941421413707863,3400.0225803510643,2068.411196577505,3399.949428422461,12127.633301011638,37680.72562561444,5.879741219225394e-05,0.1357849529507605,0.017928213899028028,17.278325794679912,2.9205595486053784,0.04648675916340385
2,0.043649783256564094,2.1653555,0.08941446429762205,3400.0200489781187,2068.404687602456,3399.9469016428993,12127.599324889588,37680.589361241626,5.879738277019003e-05,0.13578485246277738,0.01792820057510616,17.278367715000456,5.84113185067791,0.04046905670354496
3,0.06547467488484614,2.1653555,0.0894146953328093,3400.0175176137495,2068.398617541348,3399.9443749121224,12127.567406581053,37680.45949084768,5.879735333833135e-05,0.1357847519413594,0.017928187251441532,17.27840593964202,8.761715033746855,0.03731682265612247
4,0.08729956651312928,2.1653555,0.0894149131385146,3400.0149862576955,2068.392851092997,3399.9418482174456,12127.536911740726,37680.33404348106,5.879732389972239e-05,0.13578465139690474,0.017928173927967264,17.2784416078889,11.68230799498835,0.035230333394013706
5,0.10912445814141132,2.1653555,0.08941512092794782,3400.0124549097545,2068.3873145187827,3399.939321551902,12127.50749465287,37680.21194497863,5.879729445602175e-05,0.13578455083507834,0.01792816060464662,17.278475340643222,14.602909963481805,0.03369260588748582
6,0.13094934976969227,2.1653555,0.08941532071437792,3400.009923569762,2068.3819616167857,3399.9367949110915,12127.478938704638,37680.092522307736,5.8797265008268354e-05,0.13578445025942829,0.017928147281456395,17.278507526937606,17.523520352799142,0.03248614750834835
7,0.15277424139797433,2.1653555,0.08941551387167844,3400.0073922375805,2068.3767608582257,3399.9342682919873,12127.451096076638,37679.975316181306,5.879723555717081e-05,0.13578434967237474,0.017928133958380627,17.278538432251622,20.44413869325817,0.03149986697207286
8,0.17459913302625638,2.1653555,0.08941570139364333,3400.0048609130913,2068.3716894365925,3399.9317416923827,12127.423859842916,37679.85999437096,5.8797206103241454e-05,0.13578424907566763,0.017928120635407687,17.27856824862049,23.364764595290833,0.030669747567780466
9,0.19642402465453843,2.1653555,0.08941588403035361,3400.0023295961914,2068.3667301382475,3399.9292151105983,12127.397149299106,37679.746306120585,5.879717664686675e-05,0.13578414847062717,0.017928107312528713,17.278597120985744,26.285397727477076,0.029955706918333627
